id,Material Type,Process Type,call_number,Library Name,Location Name,mms_id,title,ISBN,ISSN,Author,Publisher,Publication Place,Publication Date,Subjects,651$$0,651$$1,Num of Loans Including Pre-Migration (In House),Description,Internal Note 1,Internal Note 2,Internal Note 3,date_acquired,Item Modification Date,predicted_category,confidence,prob_Ancient Western Asia,prob_Central Asia & Siberia,"prob_China, South Asia, & East Asia",prob_Cross-Cultural Studies & Other,prob_Egypt & North Africa,prob_European and Classical Antiquity,prob_The Caucasus & The Western Steppe,final_category
31154068978145,Book,In Process,DS121.6 .C64 2021,NYU Inst Study Ancient World,Small Collection,9998781077107876,Under the yoke of Ashur : the Assyrian century in the land of Israel /,9652209392; 9789652209399,,"Cogan, Mordechai, author.",Carta Jerusalem,Jerusalem :,2021.,Jews; Middle East--Assyria; Jews in Babylonian captivity--(598 - 515 B.C.); 953-515 B.C; History; Jews--History--953-586 B.C.; Assyria--History.; Imperialism--History--To 1500.; Assyria--Politics and government.; Assyria (kingdom); Juifs--Histoire--953-586 av. J.-C.,https://pleiades.stoa.org/places/29492,,0,,,,,2026-02-02,2026-02-12,Ancient Western Asia,0.8756886980395554,0.8756886980395554,0.0225085222262309,0.0351951438446519,0.0,0.0443975438407307,0.0130792764287558,0.0091308156200748,Ancient Western Asia
31154068978152,Book,In Process,PJ1531.R4 G4 2024,NYU Inst Study Ancient World,Small Collection,9998784208907876,Der Stein von Rosetta /,3150142008; 9783150142004,,"Hoffmann, Friedhelm, author.",Reclam,Ditzingen :,2024.,"Rosetta stone.; Egyptian language--Writing, Hieroglyphic.; Egyptian language--Writing, Demotic.; demotic.; Bolbitine.; Égyptien (Langue)--Écriture hiéroglyphique.; Égyptien (Langue)--Écriture démotique.",https://pleiades.stoa.org/places/727085,,0,,,,,2026-02-09,2026-02-12,Egypt & North Africa,0.9094642261727182,0.0568415141357948,0.0,0.0,0.0221820542968955,0.9094642261727182,0.0115122053945913,0.0,Egypt & North Africa
31154068978160,Book,,GN776.32.I75 A85 2025,NYU Inst Study Ancient World,Small Collection,9998784208007876,"Atlit-Yam, a submerged pre-pottery Neolithic C site off the Carmel Coast, Israel : 9,000 years under the sea /",3032030137; 9783032030139; 9783032030146; 3032030145,,,Springer,"Cham, Switzerland :",[2025],"Carmel Coast (Israel)--Antiquities.; ʻAtlit (Israel)--Antiquities.; Atlit-Yam Site (Israel); Underwater archaeology--Israel--Carmel Coast.; Neolithic period--Israel--Carmel Coast.; Atlit Yam.; Archéologie sous-marine--Israël--Carmel, Côte du.; Néolithique--Israël--Carmel, Côte du.",https://pleiades.stoa.org/places/97875559,,0,,White-Levy Program,,,2026-02-09,2026-02-09,Ancient Western Asia,0.8091879030412987,0.8091879030412987,0.0207991994661778,0.0325223846198416,0.0383299533019562,0.0319416277516302,0.0113210832537423,0.0558978485653528,Ancient Western Asia
31154068978178,Book,In Process,BL2350.I7 C47 2022,NYU Inst Study Ancient World,Small Collection,9998784829007876,"L'historiola nella Mesopotamia antica : mito, rito e performatività /",8868972840; 9788868972844,,"Ceravolo, Marinella, author.",Bulzoni editore,Roma :,[2022],"Iraq--Religion.; Rites and ceremonies--Iraq.; Mythology, Assyro-Babylonian.; Incantations, Assyro-Babylonian.; Incantations, Assyro-Babylonian; Mythology, Assyro-Babylonian; Religion; Rites and ceremonies; Iraq; Mesopotamia (region); Rites et cérémonies--Irak.; Mythologie assyro-babylonienne.",https://pleiades.stoa.org/places/874602,https://id.oclc.org/worldcat/entity/E39PBJtCBPBdMfmXtd4M8cvJXd;,0,,,,,2026-02-12,2026-02-19,Ancient Western Asia,0.8351522814250476,0.8351522814250476,0.0,0.0404922318266689,0.0477229875100027,0.051079650240064,0.0150477888545053,0.0105050601437112,Ancient Western Asia
31154068978194,Book,In Process,NK1039.A7 .A735 1949,NYU Inst Study Ancient World,Large Collection,9998785523507876,Haykakan patkerakʻandaknerě IV-VII darerum /,,,"Aṛakʻelyan, B. N. author. (Babken Nikoghosi),",Haykakan SSṚ GA hratarakchʻutʻyun,Erevan :,1949.,"Relief (Decorative arts)--Armenia--History--To 1500.; Sculpture, Ancient--Armenia.; Sculpture, Medieval--Armenia.; Armenia (region); Sculpture antique--Arménie.; Sculpture médiévale--Arménie.",https://pleiades.stoa.org/places/874350,,0,,,,,2026-02-27,2026-03-18,The Caucasus & The Western Steppe,0.7201672472284137,0.0,0.013753193957487,0.1600371660507586,0.0377230462833931,0.0403763492329895,0.0279429972469578,0.7201672472284137,The Caucasus & The Western Steppe
31154069005591,Book,,DS358 .K89 2024,NYU Inst Study Ancient World,Small Collection,9998784927607876,Collected articles on ancient eastern Afghanistan and northern Pakistan /,4653045941; 9784653045946,,"Kuwayama, Shōshin, author.",Rinsen Shoten,Kyōto-shi :,2024.,Afghanistan--History.; Pakistan--History.; Afghanistan--Antiquities.; Pakistan--Antiquities.; Hindu Kush Mountains (Afghanistan and Pakistan); Afuganisutan-Rekishi.; Pakisutan-Rekishi.; Iseki ibutsu-Afuganisutan.; Iseki ibutsu-Pakisutan.; Paropamisos/Caucasus M.; Afghanistan.; Pakistan.; Hindū Kūsh (Afghānistān et Pākistān); Afghānistān--Histoire.; Pākistān--Histoire.; Afghānistān--Antiquités.; Pākistān--Antiquités.,https://pleiades.stoa.org/places/59983; http://vocab.getty.edu/tgn/7016612; http://vocab.getty.edu/tgn/1000133;,,0,,,,,2026-02-11,2026-02-11,Central Asia & Siberia,0.8193484169401002,0.0744862197218273,0.8193484169401002,0.0297944878887309,0.0199841077302463,0.0375847897678945,0.0110722759045959,0.0077297020466047,Central Asia & Siberia
31154069008058,Bound Issue,,PJ1001 .L56,NYU ISAW Offsite,Offsite Collection,990035182230107876,Lingua Aegyptia.,,0942-5659,,Widmaier Verlag; Seminar für Ägyptologie und Koptologie Universität Göttingen,Göttingen :,1991-,"Egyptian literature--History and criticism--Periodicals.; Egyptian language; Egyptian literature; Criticism, interpretation, etc.; Periodicals; Periodicals.; Egyptian language--Periodicals.; Egyptology--Periodicals.",,,0,v.33(2025),,,,2026-02-02,2026-02-02,Egypt & North Africa,0.9061522419186652,0.0823774765380604,0.0,0.0,0.0,0.9061522419186652,0.0114702815432742,0.0,Egypt & North Africa
31154069008066,Book,,BS192.2.A1 1964 G3 v.14A 2023,NYU Inst Study Ancient World,Small Collection,990096954170107876,Ezra : a new translation with introduction and commentary /,0300149697; 9780300149692; 9780300174625; 0300174624,,,Yale University Press,New Haven ; London :,[2023],Bible. Ezra Commentaries.; Bible. Ezra; Commentaries; Sacred works; Sacred works.; Bible. Ezra Commentaries; Palaestina.; Livres sacrés.,https://pleiades.stoa.org/places/991396,,0,,,,,2026-02-02,2026-02-02,Ancient Western Asia,0.9122299128878596,0.9122299128878596,0.0,0.0,0.0,0.0462501887268108,0.0320080671188722,0.0095118312664573,Ancient Western Asia
31154069008074,Book,,GN790 .G37 2025,NYU Inst Study Ancient World,Large Collection,9998780978007876,Hinterland monuments of ancient nomads : trilith stone structures of south-eastern Arabia /,9781805831013; 1805831011; 9781805831020; 180583102X,,"Garba, Roman, author.",Archaeopress Publishing,Bicester :,[2025],Megalithic monuments--Oman.; Megalithic monuments--Yemen (Republic); Oman--Antiquities.; Yemen (Republic)--Antiquities.; Monuments--Arabian Peninsula.; Megalithic monuments--Arabian Peninsula.; Arabia.; Oman.; Yemen.; Monuments--Arabie (Péninsule); Monuments mégalithiques--Arabie (Péninsule); Monuments mégalithiques--Oman.; Monuments mégalithiques--Yémen.; Yémen--Antiquités.,https://pleiades.stoa.org/places/29475; http://vocab.getty.edu/tgn/1000131; http://vocab.getty.edu/tgn/7000261;,,0,,,,,2026-02-02,2026-02-02,Central Asia & Siberia,0.6708815038862711,0.1219784552520493,0.6708815038862711,0.0487913821008197,0.0575041289045375,0.0,0.0169843418705385,0.0838601879857838,Central Asia & Siberia
31154069008082,Book,,DK34.S4 C53 2024,NYU Inst Study Ancient World,Small Collection,9998782611607876,Akademik M.I. Rostovt͡sev : otkrytie skifo-sarmatskogo mira = Academician Mikhael L. Rostovtzeff: The discovery of Scythian-Sarmatian world /,5000816587; 9785000816585,,"Chibirov, A. L. author. (Alekseĭ Li͡udvigovich),",VNT͡S RAN,Vladikavkaz :,2024.,"Rostovtzeff, Michael Ivanovitch,--1870-1952.; Scythians.; Sarmatians.; Ethnology--Russia (Federation)--Caucasus, Northern.; Caucasus, Northern (Russia)--Antiquities.; Caucasus, Northern (Russia)--History.; Scythae/Sagae/Sacae.; Sarmatae.; Ciscaucasia.; Scythes.; Sarmates.; Ethnologie--Russie--Ciscaucasie.; Ciscaucasie (Russie)--Histoire.",https://pleiades.stoa.org/places/60676; https://pleiades.stoa.org/places/226752; http://vocab.getty.edu/tgn/7025826;,,0,,,,,2026-02-05,2026-02-05,The Caucasus & The Western Steppe,0.6478950246036086,0.0,0.331146345908511,0.0,0.0,0.0,0.0209586294878804,0.6478950246036086,The Caucasus & The Western Steppe
31154069008090,Book,In Process,DK511.A2 B94 2023,NYU Inst Study Ancient World,Small Collection,9998782612207876,Issledovanii͡a arkheologicheskikh pami͡atnikov Abkhazii /,97851119010023,,"Bzhanii͡a, D. S., author.",Dom pechati,Sukhum :,2023.,Excavations (Archaeology)--Georgia (Republic)--Abkhazia.; Abkhazia (Georgia)--Antiquities.; Georgia (Republic)--Antiquities.; Georgia (Republic); Georgia (Republic)--Abkhazia; Apkhazeti.; Géorgie (République)--Antiquités.; Fouilles (Archéologie)--Géorgie (République)--Abkhazie.,http://vocab.getty.edu/tgn/7012217;,https://id.oclc.org/worldcat/entity/E39PBJtRMHxc6jDdXPVCXhmmVC; https://id.oclc.org/worldcat/entity/E39PBJxcQRm8QpQXxYGdwTRkDq;,0,,,,,2026-02-05,2026-03-11,The Caucasus & The Western Steppe,0.7322348094747683,0.0,0.2440782698249227,0.0,0.0,0.0,0.0236869207003089,0.7322348094747683,The Caucasus & The Western Steppe
31154069008108,Book,,DK949.S26 I45 2025,NYU Inst Study Ancient World,Small Collection,9998782612007876,Kochevniki v Sogdiane : istoriko-kulʹturnyĭ kontekst orlatskikh nakhodok /,5807105931; 9785807105936,,"Ilʹi͡asov, Dzhangar, author.",Evrazii͡a,Sankt-Peterburg :,2025.,"Nomads--Asia, Central--History.; Excavations (Archaeology)--Uzbekistan.; Art, Central Asian--Uzbekistan--Orlat.; Sogdians--History.; Archaeology--Uzbekistan--Orlat.; Sogdiana.; Sogdiens--Histoire.; Fouilles (Archéologie)--Ouzbékistan.",https://pleiades.stoa.org/places/60058,,0,,,,,2026-02-05,2026-02-05,Central Asia & Siberia,0.9783853253884798,0.0,0.9783853253884798,0.0,0.0,0.0,0.012384624372006,0.0092300502395139,Central Asia & Siberia
31154069008124,Book,In Process,DG28 .E28 2025,NYU Inst Study Ancient World,Large Collection,9998782611807876,"Eating and drinking along ancient roads and rivers : study opportunities, archaeological sources and open issues about diet habits /",9781805830702; 1805830708,,,Archaeopress Archaeology,Bicester :,[2025],"Food habits.; Roads, Roman--History--To 1500.; Rivers--History--To 1500.; Social archaeology--Rome.; Social archaeology.; Food habits; Rivers--History.; Roads--History.; Social archaeology; Roman Empire.; Habitudes alimentaires.; Archéologie sociale.; Archéologie sociale--Rome.",http://vocab.getty.edu/tgn/7030347,,0,,,,,2026-02-05,2026-02-19,European and Classical Antiquity,0.9271523178807948,0.0,0.0,0.0,0.0397350993377483,0.0331125827814569,0.9271523178807948,0.0,European and Classical Antiquity
31154069008132,Book,,DS110.M54 A53 2025,NYU Inst Study Ancient World,Large Collection,9998782610207876,Ancient Magdala : archaeological excavations (2010-2017) /,1803279834; 9781803279831,,,Archaeopress Archaeology,Bicester :,[2025]-,Excavations (Archaeology)--Israel--Migdal.; Migdal (Israel)--Antiquities.; Excavations (Archaeology); Israel; Israel--Migdal; 2010-2017; Magdala/Taricheai.,https://pleiades.stoa.org/places/678272,https://id.oclc.org/worldcat/entity/E39PBJdgWx83Xb7cjjrMXBJYyd; https://id.oclc.org/worldcat/entity/E39PBJdMbDGrhvYWhc3JpPcpT3;,0,,,,,2026-02-05,2026-02-05,Ancient Western Asia,0.892153641822121,0.892153641822121,0.0218234104653007,0.0341238781821066,0.0,0.0430461766058684,0.0,0.0088528929246031,Ancient Western Asia
